Episode: 0 Final Score: -5
3.0888 0 0 
10.7704 3.6858 3.6858 r
10.8725 4.2985 4.2985 r
10.978 4.9314 4.9314 r
11.0853 5.5752 5.5752 r
11.1885 6.1941 6.1941 r
11.2979 6.8509 6.8509 r
11.4049 7.4926 7.4926 r
11.5112 8.1306 8.1306 r
11.6187 8.7754 8.7754 r
11.7262 9.4202 9.4202 r
11.8271 10.0256 10.0256 r
11.9332 10.6627 10.6627 r
12.0376 11.2892 11.2892 r
12.1438 11.9263 11.9263 jr
12.2484 12.5535 12.5535 r
12.3484 13.1538 13.1538 r
12.4488 13.7564 13.7564 r
12.5518 14.3741 14.3741 r
12.6674 15.068 15.068 r
12.7686 15.6746 15.6746 r
12.8691 16.2777 16.2777 r
12.972 16.8956 16.8956 r
13.0736 17.5048 17.5048 r
13.1766 18.1227 18.1227 r
13.2833 18.7628 18.7628 jr
13.3888 19.3964 19.3964 r
13.492 20.0154 20.0154 r
13.5936 20.6251 20.6251 r
13.6979 21.2504 21.2504 r
13.7994 21.8598 21.8598 r
13.9021 22.476 22.476 r
14.0038 23.0861 23.0861 r
14.1056 23.6972 23.6972 r
14.2072 24.3063 24.3063 r
14.3076 24.7444 24.7444 n
14.4093 24.7444 24.7444 n
14.5155 24.7444 24.7444 n
14.6197 24.8182 24.8182 r
14.7221 25.1033 25.1033 r
14.8284 25.2852 25.2852 n
14.9321 25.2852 25.2852 n
15.0335 25.2852 25.2852 n
15.1347 25.2852 25.2852 n
15.2367 25.2852 25.2852 n
15.3369 25.2852 25.2852 n
15.441 25.2852 25.2852 n
15.5438 25.2852 25.2852 n
15.6462 25.2852 25.2852 n
15.7479 25.2852 25.2852 n
15.8506 25.2852 25.2852 n
15.9575 25.3668 25.3668 r
16.0597 25.4168 25.4168 n
16.1768 25.4168 25.4168 n
16.2852 25.4032 25.4032 l
16.3907 25.23 25.23 l
16.4945 25.0759 25.0759 n
16.5979 25.0759 25.0759 n
16.7012 25.0759 25.0759 n
16.8035 25.0759 25.0759 n
16.9065 25.0759 25.0759 n
17.0104 25.0773 25.0773 r
17.115 25.1989 25.1989 r
17.2172 25.5079 25.5079 r
17.3178 25.5079 25.5079 n
17.4182 25.5079 25.5079 n
17.52 25.5079 25.5079 n
17.6228 25.5079 25.5079 n
17.7246 25.5079 25.5079 n
17.8284 25.5079 25.5079 n
17.9311 25.5079 25.5079 n
18.0337 25.5079 25.5079 n
18.1352 25.5079 25.5079 n
18.2371 25.5079 25.5079 n
18.3424 25.5079 25.5079 n
18.4454 25.5079 25.5079 n
18.5528 25.5079 25.5079 n
18.6546 25.5079 25.5079 n
18.7559 25.5079 25.5079 n
18.8598 25.5079 25.5079 n
18.9618 25.5079 25.5079 n
19.0621 25.5079 25.5079 n
19.1631 25.5079 25.5079 n
19.2667 25.5079 25.5079 n
19.3726 25.5079 25.5079 n
19.4745 25.5079 25.5079 n
19.5783 25.5079 25.5079 n
19.6797 25.5079 25.5079 n
19.7818 25.5079 25.5079 n
19.8841 25.5079 25.5079 n
19.985 25.5079 25.5079 n
20.0863 25.5079 25.5079 n
20.1888 25.5079 25.5079 n
20.2918 25.5079 25.5079 n
20.3933 25.5079 25.5079 n
20.4965 25.5079 25.5079 n
20.5976 25.5079 25.5079 n
20.6986 25.5079 25.5079 n

Episode: 4 Final Score: 0
0 0 0 
0.3533 0 0 n
0.4549 0 0 n
0.5563 0 0 n
0.6579 0 0 n
0.7587 0.0113 0.0113 r
0.8695 0.1984 0.1984 r
0.9708 0.5526 0.5526 r
1.0727 1.0969 1.0969 r
1.1789 1.7337 1.7337 r
1.2858 2.3754 2.3754 r
1.3863 2.9782 2.9782 r
1.4869 3.5817 3.5817 r
1.6104 4.3231 4.3231 r
1.716 4.9565 4.9565 r
1.8164 5.5592 5.5592 r
1.9207 6.1849 6.1849 r
2.0271 6.8233 6.8233 r
2.1305 7.4436 7.4436 r
2.2524 8.1752 8.1752 r
2.3597 8.8186 8.8186 r
2.4648 9.4491 9.4491 r
2.5688 10.0733 10.0733 r
2.6716 10.6902 10.6902 r
2.7772 11.3236 11.3236 r
